"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Total Persons","2022","Female","Train, DART or LUAS","All persons","Number","42392"
"Total Persons","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","29584"
"Total Persons","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","457"
"Total Persons","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","3778"
"Total Persons","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","8573"
"Total Persons","2022","Female","Motorcycle or scooter","All persons","Number","1492"
"Total Persons","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","1328"
"Total Persons","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","27"
"Total Persons","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","137"
"Total Persons","2022","Female","Motor car: Driver","All persons","Number","642569"
"Total Persons","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","613603"
"Total Persons","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Total Persons","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","2917"
"Total Persons","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","26049"
"Total Persons","2022","Female","Motor car: Passenger","All persons","Number","291058"
"Total Persons","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","45820"
"Total Persons","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","153782"
"Total Persons","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","81723"
"Total Persons","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","9733"
"Total Persons","2022","Female","Van","All persons","Number","3975"
"Total Persons","2022","Female","Van","Population aged 15 years and over at work","Number","3163"
"Total Persons","2022","Female","Van","Children at school aged between 5 and 12 years","Number","485"
"Total Persons","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","279"
"Total Persons","2022","Female","Van","Students at school or college aged 19 years and over","Number","48"
"Total Persons","2022","Female","Other, incl. lorry","All persons","Number","1383"
"Total Persons","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","906"
"Total Persons","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","197"
"Total Persons","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","157"
"Total Persons","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","123"
"Total Persons","2022","Female","Not stated","All persons","Number","119788"
"Total Persons","2022","Female","Not stated","Population aged 15 years and over at work","Number","71901"
"Total Persons","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","24726"
"Total Persons","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","10964"
"Total Persons","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","12197"
"Total Persons","2022","Female","All means of travel","All persons","Number","1521070"
"Total Persons","2022","Female","All means of travel","Population aged 15 years and over at work","Number","946700"
"Total Persons","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","275077"
"Total Persons","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","190866"
"Total Persons","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","108427"
"Journey time < 15 mins","2022","Both sexes","On foot","All persons","Number","220267"
"Journey time < 15 mins","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","78625"
"Journey time < 15 mins","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","89600"
"Journey time < 15 mins","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","37604"
"Journey time < 15 mins","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","14438"
