"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time 90 mins and over","2022","Female","Train, DART or LUAS","All persons","Number","5542"
"Journey time 90 mins and over","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","3402"
"Journey time 90 mins and over","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","11"
"Journey time 90 mins and over","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","304"
"Journey time 90 mins and over","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1825"
"Journey time 90 mins and over","2022","Female","Motorcycle or scooter","All persons","Number","23"
"Journey time 90 mins and over","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","18"
"Journey time 90 mins and over","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 90 mins and over","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","5"
"Journey time 90 mins and over","2022","Female","Motor car: Driver","All persons","Number","12013"
"Journey time 90 mins and over","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","10226"
"Journey time 90 mins and over","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","38"
"Journey time 90 mins and over","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","1749"
"Journey time 90 mins and over","2022","Female","Motor car: Passenger","All persons","Number","1341"
"Journey time 90 mins and over","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","498"
"Journey time 90 mins and over","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","219"
"Journey time 90 mins and over","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","230"
"Journey time 90 mins and over","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","394"
"Journey time 90 mins and over","2022","Female","Van","All persons","Number","154"
"Journey time 90 mins and over","2022","Female","Van","Population aged 15 years and over at work","Number","144"
"Journey time 90 mins and over","2022","Female","Van","Children at school aged between 5 and 12 years","Number","1"
"Journey time 90 mins and over","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time 90 mins and over","2022","Female","Van","Students at school or college aged 19 years and over","Number","7"
"Journey time 90 mins and over","2022","Female","Other, incl. lorry","All persons","Number","64"
"Journey time 90 mins and over","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","51"
"Journey time 90 mins and over","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","1"
"Journey time 90 mins and over","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","5"
"Journey time 90 mins and over","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","7"
"Journey time 90 mins and over","2022","Female","Not stated","All persons","Number","170"
"Journey time 90 mins and over","2022","Female","Not stated","Population aged 15 years and over at work","Number","90"
"Journey time 90 mins and over","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","18"
"Journey time 90 mins and over","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","12"
"Journey time 90 mins and over","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","50"
"Journey time 90 mins and over","2022","Female","All means of travel","All persons","Number","30146"
"Journey time 90 mins and over","2022","Female","All means of travel","Population aged 15 years and over at work","Number","19929"
"Journey time 90 mins and over","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","350"
"Journey time 90 mins and over","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","1507"
"Journey time 90 mins and over","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","8360"
"Journey time not stated","2022","Both sexes","On foot","All persons","Number","16404"
"Journey time not stated","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","9022"
"Journey time not stated","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","3589"
"Journey time not stated","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","2146"
"Journey time not stated","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","1647"
"Journey time not stated","2022","Both sexes","Bicycle","All persons","Number","2711"
"Journey time not stated","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","1954"
"Journey time not stated","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","283"
"Journey time not stated","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","231"
"Journey time not stated","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","243"
"Journey time not stated","2022","Both sexes","Bus, minibus or coach","All persons","Number","9768"
"Journey time not stated","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","5031"
"Journey time not stated","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","1124"
"Journey time not stated","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","1758"
"Journey time not stated","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","1855"
"Journey time not stated","2022","Both sexes","Train, DART or LUAS","All persons","Number","2254"
"Journey time not stated","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","1419"
"Journey time not stated","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","31"
"Journey time not stated","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","168"
"Journey time not stated","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","636"
"Journey time not stated","2022","Both sexes","Motorcycle or scooter","All persons","Number","307"
"Journey time not stated","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","290"
"Journey time not stated","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time not stated","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","15"
"Journey time not stated","2022","Both sexes","Motor car: Driver","All persons","Number","39561"
"Journey time not stated","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","37478"
"Journey time not stated","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","118"
"Journey time not stated","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","1965"
"Journey time not stated","2022","Both sexes","Motor car: Passenger","All persons","Number","10688"
"Journey time not stated","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","3194"
"Journey time not stated","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","4744"
"Journey time not stated","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","2075"
"Journey time not stated","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","675"
"Journey time not stated","2022","Both sexes","Van","All persons","Number","12408"
"Journey time not stated","2022","Both sexes","Van","Population aged 15 years and over at work","Number","12322"
"Journey time not stated","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","33"
"Journey time not stated","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","19"
"Journey time not stated","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","34"
"Journey time not stated","2022","Both sexes","Other, incl. lorry","All persons","Number","3210"
"Journey time not stated","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","2962"
"Journey time not stated","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","55"
"Journey time not stated","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","89"
"Journey time not stated","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","104"
"Journey time not stated","2022","Both sexes","Not stated","All persons","Number","244959"
"Journey time not stated","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","159282"
"Journey time not stated","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","44087"
"Journey time not stated","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","20313"
"Journey time not stated","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","21277"
"Journey time not stated","2022","Both sexes","All means of travel","All persons","Number","342270"
"Journey time not stated","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","232954"
"Journey time not stated","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","53946"
"Journey time not stated","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","26919"
"Journey time not stated","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","28451"
"Journey time not stated","2022","Male","On foot","All persons","Number","8362"
"Journey time not stated","2022","Male","On foot","Population aged 15 years and over at work","Number","4708"
"Journey time not stated","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","1827"
"Journey time not stated","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","1103"
"Journey time not stated","2022","Male","On foot","Students at school or college aged 19 years and over","Number","724"
"Journey time not stated","2022","Male","Bicycle","All persons","Number","1988"
"Journey time not stated","2022","Male","Bicycle","Population aged 15 years and over at work","Number","1438"
"Journey time not stated","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","177"
"Journey time not stated","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","193"
"Journey time not stated","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","180"
"Journey time not stated","2022","Male","Bus, minibus or coach","All persons","Number","4893"
"Journey time not stated","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","2555"
"Journey time not stated","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","584"
"Journey time not stated","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","898"
"Journey time not stated","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","856"
"Journey time not stated","2022","Male","Train, DART or LUAS","All persons","Number","1160"
"Journey time not stated","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","769"
"Journey time not stated","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","12"
"Journey time not stated","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","80"
"Journey time not stated","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","299"
"Journey time not stated","2022","Male","Motorcycle or scooter","All persons","Number","243"
"Journey time not stated","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","234"
"Journey time not stated","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time not stated","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","8"
"Journey time not stated","2022","Male","Motor car: Driver","All persons","Number","25231"
"Journey time not stated","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","24209"
"Journey time not stated","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","77"
"Journey time not stated","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","945"
"Journey time not stated","2022","Male","Motor car: Passenger","All persons","Number","5598"
"Journey time not stated","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","1920"
"Journey time not stated","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","2373"
"Journey time not stated","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","1010"
"Journey time not stated","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","295"
"Journey time not stated","2022","Male","Van","All persons","Number","12116"
"Journey time not stated","2022","Male","Van","Population aged 15 years and over at work","Number","12058"
"Journey time not stated","2022","Male","Van","Children at school aged between 5 and 12 years","Number","21"
"Journey time not stated","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","8"
"Journey time not stated","2022","Male","Van","Students at school or college aged 19 years and over","Number","29"
"Journey time not stated","2022","Male","Other, incl. lorry","All persons","Number","2781"
"Journey time not stated","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","2644"
"Journey time not stated","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","32"
"Journey time not stated","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","54"
"Journey time not stated","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","51"
"Journey time not stated","2022","Male","Not stated","All persons","Number","131776"
"Journey time not stated","2022","Male","Not stated","Population aged 15 years and over at work","Number","89246"
"Journey time not stated","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","22736"
"Journey time not stated","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","10390"
"Journey time not stated","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","9404"
"Journey time not stated","2022","Male","All means of travel","All persons","Number","194148"
"Journey time not stated","2022","Male","All means of travel","Population aged 15 years and over at work","Number","139781"
"Journey time not stated","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","27762"
"Journey time not stated","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","13814"
"Journey time not stated","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","12791"
"Journey time not stated","2022","Female","On foot","All persons","Number","8042"
"Journey time not stated","2022","Female","On foot","Population aged 15 years and over at work","Number","4314"
"Journey time not stated","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","1762"
"Journey time not stated","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","1043"
"Journey time not stated","2022","Female","On foot","Students at school or college aged 19 years and over","Number","923"
"Journey time not stated","2022","Female","Bicycle","All persons","Number","723"
"Journey time not stated","2022","Female","Bicycle","Population aged 15 years and over at work","Number","516"
"Journey time not stated","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","106"
"Journey time not stated","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","38"
"Journey time not stated","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","63"
"Journey time not stated","2022","Female","Bus, minibus or coach","All persons","Number","4875"
"Journey time not stated","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","2476"
"Journey time not stated","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","540"
"Journey time not stated","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","860"
"Journey time not stated","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","999"
"Journey time not stated","2022","Female","Train, DART or LUAS","All persons","Number","1094"
"Journey time not stated","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","650"
"Journey time not stated","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","19"
"Journey time not stated","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","88"
"Journey time not stated","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","337"
"Journey time not stated","2022","Female","Motorcycle or scooter","All persons","Number","64"
"Journey time not stated","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","56"
"Journey time not stated","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time not stated","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","7"
"Journey time not stated","2022","Female","Motor car: Driver","All persons","Number","14330"
"Journey time not stated","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","13269"
"Journey time not stated","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time not stated","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","41"
"Journey time not stated","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","1020"
"Journey time not stated","2022","Female","Motor car: Passenger","All persons","Number","5090"
"Journey time not stated","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","1274"
"Journey time not stated","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","2371"
"Journey time not stated","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","1065"
"Journey time not stated","2022","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","380"
"Journey time not stated","2022","Female","Van","All persons","Number","292"
"Journey time not stated","2022","Female","Van","Population aged 15 years and over at work","Number","264"
"Journey time not stated","2022","Female","Van","Children at school aged between 5 and 12 years","Number","12"
"Journey time not stated","2022","Female","Van","Students at school or college aged between 13 and 18 years","Number","11"
"Journey time not stated","2022","Female","Van","Students at school or college aged 19 years and over","Number","5"
"Journey time not stated","2022","Female","Other, incl. lorry","All persons","Number","429"
"Journey time not stated","2022","Female","Other, incl. lorry","Population aged 15 years and over at work","Number","318"
"Journey time not stated","2022","Female","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","23"
"Journey time not stated","2022","Female","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","35"
"Journey time not stated","2022","Female","Other, incl. lorry","Students at school or college aged 19 years and over","Number","53"
"Journey time not stated","2022","Female","Not stated","All persons","Number","113183"
"Journey time not stated","2022","Female","Not stated","Population aged 15 years and over at work","Number","70036"
"Journey time not stated","2022","Female","Not stated","Children at school aged between 5 and 12 years","Number","21351"
"Journey time not stated","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","9923"
"Journey time not stated","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","11873"
"Journey time not stated","2022","Female","All means of travel","All persons","Number","148122"
"Journey time not stated","2022","Female","All means of travel","Population aged 15 years and over at work","Number","93173"
"Journey time not stated","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","26184"
"Journey time not stated","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","13105"
"Journey time not stated","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","15660"
"Average journey time (mins)","2022","Both sexes","On foot","All persons","Number","14.7"
"Average journey time (mins)","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","16.7"
"Average journey time (mins)","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","11"
"Average journey time (mins)","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","14.6"
"Average journey time (mins)","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","17.9"
"Average journey time (mins)","2022","Both sexes","Bicycle","All persons","Number","20"
"Average journey time (mins)","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","22.8"
"Average journey time (mins)","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","12.3"
"Average journey time (mins)","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","14.7"
"Average journey time (mins)","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","20.8"
"Average journey time (mins)","2022","Both sexes","Bus, minibus or coach","All persons","Number","37.1"
"Average journey time (mins)","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","45.3"
"Average journey time (mins)","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","20.5"
"Average journey time (mins)","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","29.1"
"Average journey time (mins)","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","51.7"
"Average journey time (mins)","2022","Both sexes","Train, DART or LUAS","All persons","Number","51.8"
"Average journey time (mins)","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","52.1"
"Average journey time (mins)","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","29.9"
"Average journey time (mins)","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","40"
"Average journey time (mins)","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","57.7"
"Average journey time (mins)","2022","Both sexes","Motorcycle or scooter","All persons","Number","25.2"
"Average journey time (mins)","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","25.1"
"Average journey time (mins)","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","16.6"
"Average journey time (mins)","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","29.1"
"Average journey time (mins)","2022","Both sexes","Motor car: Driver","All persons","Number","28.3"
"Average journey time (mins)","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","28"
"Average journey time (mins)","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","20"
"Average journey time (mins)","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","36.1"
"Average journey time (mins)","2022","Both sexes","Motor car: Passenger","All persons","Number","14.6"
"Average journey time (mins)","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","23"
"Average journey time (mins)","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","11.2"
"Average journey time (mins)","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","15.2"
"Average journey time (mins)","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","29.4"
"Average journey time (mins)","2022","Both sexes","Van","All persons","Number","36.5"
"Average journey time (mins)","2022","Both sexes","Van","Population aged 15 years and over at work","Number","36.7"
"Average journey time (mins)","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","12.1"
"Average journey time (mins)","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","17.7"
"Average journey time (mins)","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","45.5"
"Average journey time (mins)","2022","Both sexes","Other, incl. lorry","All persons","Number","33.1"
"Average journey time (mins)","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","34"
"Average journey time (mins)","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","13.8"
"Average journey time (mins)","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","24.5"
"Average journey time (mins)","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","39"
"Average journey time (mins)","2022","Both sexes","Not stated","All persons","Number","20.8"
"Average journey time (mins)","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","30.6"
"Average journey time (mins)","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","13.1"
"Average journey time (mins)","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","18.8"
"Average journey time (mins)","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","41.7"
"Average journey time (mins)","2022","Both sexes","All means of travel","All persons","Number","25.4"
"Average journey time (mins)","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","29.1"
"Average journey time (mins)","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","12.2"
"Average journey time (mins)","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","19.5"
"Average journey time (mins)","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","37.1"
"Average journey time (mins)","2022","Male","On foot","All persons","Number","14.2"
"Average journey time (mins)","2022","Male","On foot","Population aged 15 years and over at work","Number","16.3"
"Average journey time (mins)","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","10.9"
"Average journey time (mins)","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","14.2"
"Average journey time (mins)","2022","Male","On foot","Students at school or college aged 19 years and over","Number","17.8"
"Average journey time (mins)","2022","Male","Bicycle","All persons","Number","19.8"
"Average journey time (mins)","2022","Male","Bicycle","Population aged 15 years and over at work","Number","22.9"
"Average journey time (mins)","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","12"
"Average journey time (mins)","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","14.3"
"Average journey time (mins)","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","20.7"
"Average journey time (mins)","2022","Male","Bus, minibus or coach","All persons","Number","36.8"
"Average journey time (mins)","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","46.8"
"Average journey time (mins)","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","20.8"
"Average journey time (mins)","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","28.8"
"Average journey time (mins)","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","51.4"
"Average journey time (mins)","2022","Male","Train, DART or LUAS","All persons","Number","52.1"
"Average journey time (mins)","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","52.8"
"Average journey time (mins)","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","28.5"
"Average journey time (mins)","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","39.7"
"Average journey time (mins)","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","56.6"
"Average journey time (mins)","2022","Male","Motorcycle or scooter","All persons","Number","25.3"
"Average journey time (mins)","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","25.4"
"Average journey time (mins)","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","16.4"
"Average journey time (mins)","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","27.2"
"Average journey time (mins)","2022","Male","Motor car: Driver","All persons","Number","30.3"
"Average journey time (mins)","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","30.1"
"Average journey time (mins)","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Average journey time (mins)","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","20.7"
"Average journey time (mins)","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","36.6"
"Average journey time (mins)","2022","Male","Motor car: Passenger","All persons","Number","15"
"Average journey time (mins)","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","26.8"
"Average journey time (mins)","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","11.2"
"Average journey time (mins)","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","15.3"
"Average journey time (mins)","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","29.8"
"Average journey time (mins)","2022","Male","Van","All persons","Number","36.7"
"Average journey time (mins)","2022","Male","Van","Population aged 15 years and over at work","Number","36.8"
"Average journey time (mins)","2022","Male","Van","Children at school aged between 5 and 12 years","Number","12.6"
"Average journey time (mins)","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","19.1"
"Average journey time (mins)","2022","Male","Van","Students at school or college aged 19 years and over","Number","45"
"Average journey time (mins)","2022","Male","Other, incl. lorry","All persons","Number","33.6"
"Average journey time (mins)","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","34.1"
"Average journey time (mins)","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","14.4"
"Average journey time (mins)","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","23.1"
"Average journey time (mins)","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","39.5"
"Average journey time (mins)","2022","Male","Not stated","All persons","Number","21.5"
"Average journey time (mins)","2022","Male","Not stated","Population aged 15 years and over at work","Number","31.6"
"Average journey time (mins)","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","13.3"
